2024-08-31 23:59:42+00:00,3.4,509.3,0.0,90.89,17.94,0.35,0.08
2024-09-01 00:01:17+00:00,3.4,509.3,0.0,90.89,17.94,-1.16,-0.06
2024-09-01 00:03:42+00:00,20.2,785.4,2.5,90.89,17.94,-1.16,-0.06
2024-09-01 00:04:32+00:00,20.2,785.4,2.5,90.89,17.84,-1.16,-0.06
2024-09-01 00:07:42+00:00,20.0,774.4,2.6,90.89,17.84,-1.16,-0.06
2024-09-01 00:09:30+00:00,20.0,774.4,2.6,91.24,17.97,-1.16,-0.06
2024-09-01 00:11:42+00:00,17.0,715.0,2.6,91.24,17.97,-1.16,-0.06
2024-09-01 00:14:30+00:00,17.0,715.0,2.6,91.18,17.94,-1.16,-0.06
2024-09-01 00:15:42+00:00,21.8,804.1,3.0,91.18,17.94,-1.16,-0.06
2024-09-01 00:16:18+00:00,21.8,804.1,3.0,91.18,17.94,-1.63,0.91
2024-09-01 00:19:27+00:00,21.8,804.1,3.0,91.48,18.12,-1.63,0.91
2024-09-01 00:19:42+00:00,23.4,836.0,3.5,91.48,18.12,-1.63,0.91
2024-09-01 00:23:42+00:00,22.8,820.6,3.5,91.48,18.12,-1.63,0.91
2024-09-01 00:24:27+00:00,22.8,820.6,3.5,91.44,18.10,-1.63,0.91
2024-09-01 00:27:42+00:00,23.0,828.3,3.4,91.44,18.10,-1.63,0.91
2024-09-01 00:29:28+00:00,23.0,828.3,3.4,91.37,18.08,-1.63,0.91
2024-09-01 00:31:18+00:00,23.0,828.3,3.4,91.37,18.08,-0.7,0.80
2024-09-01 00:31:42+00:00,23.6,831.6,3.6,91.37,18.08,-0.7,0.80
2024-09-01 00:34:29+00:00,23.6,831.6,3.6,91.54,18.16,-0.7,0.80
2024-09-01 00:35:42+00:00,19.8,762.3,3.3,91.54,18.16,-0.7,0.80
2024-09-01 00:39:31+00:00,19.8,762.3,3.3,91.59,18.22,-0.7,0.80
2024-09-01 00:39:42+00:00,3.6,497.2,0.8,91.59,18.22,-0.7,0.80
2024-09-01 00:43:42+00:00,21.7,788.7,2.9,91.59,18.22,-0.7,0.80
2024-09-01 00:44:28+00:00,21.7,788.7,2.9,91.3,18.14,-0.7,0.80
2024-09-01 00:46:18+00:00,21.7,788.7,2.9,91.3,18.14,-0.74,0.41
2024-09-01 00:47:42+00:00,18.9,743.6,3.0,91.3,18.14,-0.74,0.41
2024-09-01 00:49:27+00:00,18.9,743.6,3.0,91.48,18.07,-0.74,0.41
2024-09-01 00:51:42+00:00,19.1,759.0,3.1,91.48,18.07,-0.74,0.41
2024-09-01 00:54:27+00:00,19.1,759.0,3.1,91.71,18.16,-0.74,0.41
2024-09-01 00:55:42+00:00,23.1,826.1,3.2,91.71,18.16,-0.74,0.41
2024-09-01 00:59:27+00:00,23.1,826.1,3.2,91.71,18.05,-0.74,0.41
2024-09-01 00:59:42+00:00,22.6,806.3,3.3,91.71,18.05,-0.74,0.41
2024-09-01 01:01:18+00:00,22.6,806.3,3.3,91.71,18.05,-0.79,0.41
2024-09-01 01:03:42+00:00,21.9,788.7,3.4,91.71,18.05,-0.79,0.41
2024-09-01 01:04:31+00:00,21.9,788.7,3.4,91.75,17.94,-0.79,0.41
2024-09-01 01:07:42+00:00,22.8,797.5,3.0,91.75,17.94,-0.79,0.41
2024-09-01 01:09:32+00:00,22.8,797.5,3.0,92.02,17.89,-0.79,0.41
2024-09-01 01:11:42+00:00,22.7,798.6,3.0,92.02,17.89,-0.79,0.41
2024-09-01 01:14:27+00:00,22.7,798.6,3.0,92.08,17.75,-0.79,0.41
2024-09-01 01:15:42+00:00,18.8,731.5,2.6,92.08,17.75,-0.79,0.41
2024-09-01 01:16:19+00:00,18.8,731.5,2.6,92.08,17.75,-0.86,0.19
2024-09-01 01:19:30+00:00,18.8,731.5,2.6,92.30,17.76,-0.86,0.19
2024-09-01 01:19:42+00:00,6.4,594.0,0.8,92.30,17.76,-0.86,0.19
